nested,independent,process_number,dimensions,mode,max_pareto,max_theoretical_pareto,max_time,pareto_time
7,4,6,7,bagging_remove_divide,11,129,0.00014591217041015625,0.006371974945068359
7,4,6,7,bagging_remove_reverse,30,129,0.00014829635620117188,0.015827178955078125
7,4,6,7,bagging_remove_reverse_divide,44,129,0.00014734268188476562,0.03057241439819336
7,4,6,8,random,9,129,0.00015354156494140625,0.005154609680175781
7,4,6,8,bagging_divide,27,129,0.00014781951904296875,0.016475915908813477
7,4,6,8,bagging_remove,23,129,0.00014853477478027344,0.013436555862426758
7,4,6,8,bagging_remove_divide,11,129,0.00014710426330566406,0.007115602493286133
7,4,6,8,bagging_remove_reverse,35,129,0.0001461505889892578,0.020526409149169922
7,4,6,8,bagging_remove_reverse_divide,32,129,0.0001475811004638672,0.017979860305786133
7,4,6,9,random,12,129,0.0001423358917236328,0.0069577693939208984
7,4,6,9,bagging_divide,31,129,0.00014972686767578125,0.017459392547607422
7,4,6,9,bagging_remove,16,129,0.00014853477478027344,0.011225700378417969
7,4,6,9,bagging_remove_divide,29,129,0.00014901161193847656,0.017094135284423828
7,4,6,9,bagging_remove_reverse,47,129,0.00014853477478027344,0.03823995590209961
7,4,6,9,bagging_remove_reverse_divide,41,129,0.0001628398895263672,0.0239865779876709
7,4,6,10,random,10,129,0.0001590251922607422,0.005870819091796875
7,4,6,10,bagging_divide,32,129,0.00014972686767578125,0.02525496482849121
7,4,6,10,bagging_remove,18,129,0.00014901161193847656,0.011560440063476562
7,4,6,10,bagging_remove_divide,25,129,0.00014853477478027344,0.01452016830444336
7,4,6,10,bagging_remove_reverse,40,129,0.00014734268188476562,0.01720881462097168
7,4,6,10,bagging_remove_reverse_divide,90,129,0.00014901161193847656,0.11304807662963867
7,4,7,1,random,1,54,9.393692016601562e-05,0.0006265640258789062
7,4,7,1,bagging_divide,1,54,6.437301635742188e-05,0.00046443939208984375
7,4,7,1,bagging_remove,1,54,6.437301635742188e-05,0.00047206878662109375
7,4,7,1,bagging_remove_divide,1,54,6.461143493652344e-05,0.0004649162292480469
7,4,7,1,bagging_remove_reverse,1,54,6.413459777832031e-05,0.0003306865692138672
7,4,7,1,bagging_remove_reverse_divide,1,54,6.318092346191406e-05,0.00032591819763183594
7,4,7,2,random,5,54,6.4849853515625e-05,0.0011649131774902344
7,4,7,2,bagging_divide,11,54,6.461143493652344e-05,0.0035185813903808594
7,4,7,2,bagging_remove,5,54,6.580352783203125e-05,0.001512289047241211
7,4,7,2,bagging_remove_divide,4,54,6.437301635742188e-05,0.0009810924530029297
7,4,7,2,bagging_remove_reverse,2,54,6.437301635742188e-05,0.0006501674652099609
7,4,7,2,bagging_remove_reverse_divide,2,54,6.365776062011719e-05,0.00043082237243652344
7,4,7,3,random,18,54,6.389617919921875e-05,0.005301237106323242
7,4,7,3,bagging_divide,24,54,6.365776062011719e-05,0.007928848266601562
7,4,7,3,bagging_remove,16,54,6.628036499023438e-05,0.004214763641357422
7,4,7,3,bagging_remove_divide,14,54,6.365776062011719e-05,0.0037581920623779297
7,4,7,3,bagging_remove_reverse,4,54,6.365776062011719e-05,0.0009765625
7,4,7,3,bagging_remove_reverse_divide,4,54,6.318092346191406e-05,0.000701904296875
7,4,7,4,random,16,54,6.937980651855469e-05,0.0027158260345458984
7,4,7,4,bagging_divide,27,54,6.413459777832031e-05,0.00765681266784668
7,4,7,4,bagging_remove,15,54,6.389617919921875e-05,0.0046503543853759766
7,4,7,4,bagging_remove_divide,28,54,6.413459777832031e-05,0.00800943374633789
7,4,7,4,bagging_remove_reverse,12,54,6.437301635742188e-05,0.004369974136352539
7,4,7,4,bagging_remove_reverse_divide,13,54,6.318092346191406e-05,0.002676725387573242
7,4,7,5,random,17,54,6.437301635742188e-05,0.004380464553833008
7,4,7,5,bagging_divide,19,54,6.961822509765625e-05,0.00935816764831543
7,4,7,5,bagging_remove,12,54,6.580352783203125e-05,0.004172325134277344
7,4,7,5,bagging_remove_divide,27,54,6.389617919921875e-05,0.007565498352050781
7,4,7,5,bagging_remove_reverse,32,54,6.437301635742188e-05,0.01508331298828125
7,4,7,5,bagging_remove_reverse_divide,14,54,6.341934204101562e-05,0.004744052886962891
7,4,7,6,random,29,54,7.009506225585938e-05,0.009313106536865234
7,4,7,6,bagging_divide,36,54,6.413459777832031e-05,0.011936426162719727
7,4,7,6,bagging_remove,30,54,6.365776062011719e-05,0.010192632675170898
7,4,7,6,bagging_remove_divide,18,54,6.437301635742188e-05,0.004938364028930664
7,4,7,6,bagging_remove_reverse,18,54,6.461143493652344e-05,0.005399942398071289
7,4,7,6,bagging_remove_reverse_divide,17,54,6.341934204101562e-05,0.008624553680419922
7,4,7,7,random,30,54,6.461143493652344e-05,0.008884906768798828
7,4,7,7,bagging_divide,35,54,6.508827209472656e-05,0.02001786231994629
7,4,7,7,bagging_remove,33,54,6.508827209472656e-05,0.009153127670288086
7,4,7,7,bagging_remove_divide,36,54,6.532669067382812e-05,0.011251449584960938
7,4,7,7,bagging_remove_reverse,36,54,6.461143493652344e-05,0.024168729782104492
7,4,7,7,bagging_remove_reverse_divide,24,54,6.461143493652344e-05,0.006021976470947266
7,4,7,8,random,24,54,6.818771362304688e-05,0.0061321258544921875
7,4,7,8,bagging_divide,36,54,6.532669067382812e-05,0.014132022857666016
7,4,7,8,bagging_remove,34,54,6.461143493652344e-05,0.011073112487792969
7,4,7,8,bagging_remove_divide,31,54,6.651878356933594e-05,0.01053309440612793
7,4,7,8,bagging_remove_reverse,24,54,6.270408630371094e-05,0.009966850280761719
7,4,7,8,bagging_remove_reverse_divide,26,54,7.867813110351562e-05,0.013782739639282227
7,4,7,9,random,24,54,6.628036499023438e-05,0.00628662109375
7,4,7,9,bagging_divide,36,54,6.604194641113281e-05,0.013214588165283203
7,4,7,9,bagging_remove,34,54,6.580352783203125e-05,0.011408805847167969
7,4,7,9,bagging_remove_divide,36,54,6.580352783203125e-05,0.013480424880981445
7,4,7,9,bagging_remove_reverse,36,54,6.604194641113281e-05,0.012760400772094727
7,4,7,9,bagging_remove_reverse_divide,20,54,6.341934204101562e-05,0.008886337280273438
7,4,7,10,random,36,54,0.00010967254638671875,0.011402130126953125
7,4,7,10,bagging_divide,36,54,8.320808410644531e-05,0.015390157699584961
7,4,7,10,bagging_remove,36,54,6.508827209472656e-05,0.012260198593139648
7,4,7,10,bagging_remove_divide,36,54,6.604194641113281e-05,0.012632369995117188
7,4,7,10,bagging_remove_reverse,18,54,6.4849853515625e-05,0.00812530517578125
7,4,7,10,bagging_remove_reverse_divide,24,54,6.4849853515625e-05,0.009056568145751953
7,4,8,1,random,1,200,0.00013566017150878906,0.0008175373077392578
7,4,8,1,bagging_divide,1,200,0.00012421607971191406,0.0008070468902587891
7,4,8,1,bagging_remove,1,200,0.00012731552124023438,0.0008141994476318359
7,4,8,1,bagging_remove_divide,1,200,0.00012803077697753906,0.0008122920989990234
7,4,8,1,bagging_remove_reverse,1,200,0.00012445449829101562,0.0006210803985595703
7,4,8,1,bagging_remove_reverse_divide,1,200,0.00013947486877441406,0.0006012916564941406
7,4,8,2,random,4,200,0.0001251697540283203,0.0011169910430908203
7,4,8,2,bagging_divide,6,200,0.000125885009765625,0.001976490020751953
7,4,8,2,bagging_remove,4,200,0.0001423358917236328,0.0016040802001953125
7,4,8,2,bagging_remove_divide,4,200,0.0001251697540283203,0.001455545425415039
7,4,8,2,bagging_remove_reverse,2,200,0.00012683868408203125,0.0009822845458984375
7,4,8,2,bagging_remove_reverse_divide,2,200,0.00012755393981933594,0.0009903907775878906
7,4,8,3,random,4,200,0.0001270771026611328,0.0014271736145019531
7,4,8,3,bagging_divide,12,200,0.0001251697540283203,0.0029289722442626953
7,4,8,3,bagging_remove,7,200,0.00012803077697753906,0.0019421577453613281
7,4,8,3,bagging_remove_divide,11,200,0.00012564659118652344,0.002309083938598633
7,4,8,3,bagging_remove_reverse,5,200,0.00012874603271484375,0.002053976058959961
7,4,8,3,bagging_remove_reverse_divide,5,200,0.00012755393981933594,0.0018010139465332031
7,4,8,4,random,7,200,0.00012922286987304688,0.002473115921020508
7,4,8,4,bagging_divide,31,200,0.0001266002655029297,0.011371135711669922
7,4,8,4,bagging_remove,8,200,0.0001308917999267578,0.0026967525482177734
7,4,8,4,bagging_remove_divide,10,200,0.00012564659118652344,0.0029544830322265625
7,4,8,4,bagging_remove_reverse,9,200,0.00012731552124023438,0.0029234886169433594
7,4,8,4,bagging_remove_reverse_divide,7,200,0.00013947486877441406,0.001844167709350586
7,4,8,5,random,5,200,0.00012874603271484375,0.0020411014556884766
7,4,8,5,bagging_divide,22,200,0.00012731552124023438,0.009588003158569336
7,4,8,5,bagging_remove,21,200,0.00012755393981933594,0.007234334945678711
7,4,8,5,bagging_remove_divide,27,200,0.00012540817260742188,0.010041475296020508
7,4,8,5,bagging_remove_reverse,48,200,0.0001285076141357422,0.02079463005065918
7,4,8,5,bagging_remove_reverse_divide,12,200,0.00012493133544921875,0.0036330223083496094
7,4,8,6,random,7,200,0.000133514404296875,0.002710103988647461
7,4,8,6,bagging_divide,26,200,0.00012755393981933594,0.010826826095581055
7,4,8,6,bagging_remove,34,200,0.00012731552124023438,0.014095544815063477
7,4,8,6,bagging_remove_divide,18,200,0.00012922286987304688,0.009524106979370117
